iteration,selected_layer,score,new_rank,used_budget
1,bert.encoder.layer.8.attention.self.value,1.0,4,50
2,bert.encoder.layer.8.attention.self.value,1.0,6,52
3,bert.encoder.layer.8.attention.self.value,1.0,8,54
4,bert.encoder.layer.11.attention.self.value,0.9547719396275847,4,56
5,bert.encoder.layer.11.attention.self.value,0.9547719396275847,6,58
6,bert.encoder.layer.11.attention.self.value,0.9547719396275847,8,60
7,bert.encoder.layer.9.attention.self.value,0.9157235088315229,4,62
8,bert.encoder.layer.9.attention.self.value,0.9157235088315229,6,64
9,bert.encoder.layer.9.attention.self.value,0.9157235088315229,8,66
10,bert.encoder.layer.3.attention.self.value,0.8143901654341147,4,68
11,bert.encoder.layer.3.attention.self.value,0.8143901654341147,6,70
12,bert.encoder.layer.3.attention.self.value,0.8143901654341147,8,72
13,bert.encoder.layer.7.attention.self.value,0.7769830657469375,4,74
14,bert.encoder.layer.7.attention.self.value,0.7769830657469375,6,76
15,bert.encoder.layer.7.attention.self.value,0.7769830657469375,8,78
16,bert.encoder.layer.2.attention.self.value,0.6624505284819233,4,80
17,bert.encoder.layer.2.attention.self.value,0.6624505284819233,6,82
18,bert.encoder.layer.2.attention.self.value,0.6624505284819233,8,84
19,bert.encoder.layer.5.attention.self.value,0.6059059738108393,4,86
20,bert.encoder.layer.5.attention.self.value,0.6059059738108393,6,88
21,bert.encoder.layer.5.attention.self.value,0.6059059738108393,8,90
22,bert.encoder.layer.6.attention.self.value,0.5785287743338566,4,92
23,bert.encoder.layer.6.attention.self.value,0.5785287743338566,6,94
24,bert.encoder.layer.6.attention.self.value,0.5785287743338566,8,96
