layer,score
bert.encoder.layer.0.attention.self.query,0.10771191851560408
bert.encoder.layer.0.attention.self.value,0.2535855369491748
bert.encoder.layer.1.attention.self.query,0.12439271970174871
bert.encoder.layer.1.attention.self.value,0.3262627648525455
bert.encoder.layer.2.attention.self.query,0.14933820193127975
bert.encoder.layer.2.attention.self.value,0.5510257045217202
bert.encoder.layer.3.attention.self.query,0.10501968747170502
bert.encoder.layer.3.attention.self.value,0.4184212610574063
bert.encoder.layer.4.attention.self.query,0.14418154213727435
bert.encoder.layer.4.attention.self.value,0.441830093181134
bert.encoder.layer.5.attention.self.query,0.17468329439942193
bert.encoder.layer.5.attention.self.value,0.4578561358184854
bert.encoder.layer.6.attention.self.query,0.19303060927539895
bert.encoder.layer.6.attention.self.value,0.5218166938072224
bert.encoder.layer.7.attention.self.query,0.1080858778955548
bert.encoder.layer.7.attention.self.value,0.51903013881582
bert.encoder.layer.8.attention.self.query,0.1700014361923921
bert.encoder.layer.8.attention.self.value,0.8699848416310137
bert.encoder.layer.9.attention.self.query,0.2192044537908704
bert.encoder.layer.9.attention.self.value,0.2957084242991655
bert.encoder.layer.10.attention.self.query,0.2803414066080043
bert.encoder.layer.10.attention.self.value,0.39672565307994434
bert.encoder.layer.11.attention.self.query,0.17450706907439495
bert.encoder.layer.11.attention.self.value,1.0
